# OS Map Viewer core map tooltip locations.
# Generated from RuneLite core worldmap plugin location enums; no RuneLite runtime dependency is required.
# Columns: source	tooltip	x	y	z
DungeonLocation	Fortis Colosseum	1794	3107	0
DungeonLocation	Fremennik Slayer Dungeon	2796	3615	0
DungeonLocation	The Gauntlet	3227	6116	0
DungeonLocation	Giants' Den	1419	3588	0
DungeonLocation	Giants' Foundry	3360	3150	0
DungeonLocation	Goblin Cave	2622	3393	0
DungeonLocation	God Wars Dungeon	2917	3747	0
DungeonLocation	Grand Tree Tunnels	2462	3496	0
DungeonLocation	Gryphon Dungeon	3120	2490	0
DungeonLocation	Gryphon Dungeon	3234	2418	0
DungeonLocation	H.A.M. Hideout	3164	3252	0
DungeonLocation	Headless Beast Cave	1211	3647	0
DungeonLocation	Heroes' Guild mine	2891	3507	0
DungeonLocation	Hespori Patch	1231	3729	0
DungeonLocation	Hunter's End	3115	3677	0
DungeonLocation	Hunter Guild Caverns	1557	3049	0
DungeonLocation	Ice Queen's Lair	2846	3516	0
DungeonLocation	Ice Queen's Lair	2856	3519	0
DungeonLocation	Ice Queen's Lair	2822	3510	0
DungeonLocation	Ice Troll Caves	2400	3889	0
DungeonLocation	Ice Troll Caves	2315	3894	0
DungeonLocation	Isle of Souls Dungeon	2308	2919	0
DungeonLocation	Iorwerth Dungeon	3224	6044	0
DungeonLocation	Iorwerth Camp cave	2200	3262	0
DungeonLocation	Iorwerth Camp cave	3224	6014	0
DungeonLocation	Jogre Dungeon	2824	3118	0
DungeonLocation	Jormungand's Prison	2464	4012	0
DungeonLocation	Kalphite Cave	3319	3122	0
DungeonLocation	Kalphite Lair	3226	3108	0
DungeonLocation	Karamja Dungeon	2855	3168	0
DungeonLocation	Karuulm Slayer Dungeon	1308	3807	0
DungeonLocation	Kasonde Shaw's Hideout	1191	3411	0
DungeonLocation	King Black Dragon Lair	3016	3849	0
DungeonLocation	Keldagrim Entrance	2730	3713	0
DungeonLocation	Keldagrim Entrance	2795	3718	0
DungeonLocation	Klenter's Pyramid	3294	2780	0
DungeonLocation	Kraken (boss)	2279	10017	0
DungeonLocation	Kraken Cove	2277	3611	0
DungeonLocation	Lava Maze Dungeon	3068	3856	0
DungeonLocation	Legends' Guild dungeon	2723	3375	0
DungeonLocation	Lighthouse basement	2508	3644	0
DungeonLocation	Lizardman Caves	1306	3574	0
DungeonLocation	Lizardman Temple	1329	3669	0
DungeonLocation	Lizardman Temple	1311	3686	0
DungeonLocation	Lizardman Temple	1313	3663	0
DungeonLocation	Lizardman Temple	1291	3657	0
DungeonLocation	Lumbridge Castle cellar	3208	3218	0
DungeonLocation	Lumbridge Swamp Caves	3168	3172	0
DungeonLocation	Lunar Isle Mine	2141	3944	0
DungeonLocation	Mage Arena Bank	3089	3956	0
DungeonLocation	Neypotzli	1439	9602	0
DungeonLocation	Melzar's Maze basement	2923	3250	0
DungeonLocation	Mining Guild basement	3018	3339	0
DungeonLocation	Miscellania and Etceteria Dungeon	2508	3846	0
DungeonLocation	Morytania Spider Nest	3656	3409	0
DungeonLocation	Mos Le'Harmless Cave	3747	2973	0
DungeonLocation	Mos Le'Harmless Cave	3829	3062	0
DungeonLocation	Mos Le'Harmless Cave	3814	3062	0
DungeonLocation	Motherlode Mine	3059	9764	0
DungeonLocation	Motherlode Mine	3055	9744	0
DungeonLocation	Myreque Hideout	3494	3464	0
DungeonLocation	Myreque Hideout	3488	3231	0
DungeonLocation	Myreque Hideout	3508	3448	0
DungeonLocation	Myths' Guild dungeon	2456	2847	0
DungeonLocation	Myths' Guild dungeon	2444	2819	0
DungeonLocation	Observatory Dungeon	2458	3186	0
DungeonLocation	Observatory Dungeon	2436	3163	0
DungeonLocation	Ogre Enclave	2505	3039	0
DungeonLocation	Ourania Cave	2451	3231	0
DungeonLocation	Paterdomus basement	3404	3506	0
DungeonLocation	Paterdomus basement	3421	3484	0
DungeonLocation	Port Phasmatys Brewery	3679	3498	0
DungeonLocation	Port Sarim Rat Pits	3017	3232	0
DungeonLocation	Quidamortem Cave	1213	3559	0
DungeonLocation	Ranis Drakan's Crypt	3681	3231	0
DungeonLocation	Red chinchompa hunting ground	2525	2894	0
DungeonLocation	Revenant Caves	3124	3832	0
DungeonLocation	Revenant Caves	3074	3655	0
DungeonLocation	Revenant Caves	3067	3741	0
DungeonLocation	River Elid Dungeon	3370	3132	0
DungeonLocation	River Kelda	2835	10112	0
DungeonLocation	Ruins of Camdozaal	2998	3493	0
DungeonLocation	Salt Mine	2866	3941	0
DungeonLocation	Scabaras Dungeon	3407	2848	0
DungeonLocation	Skavid Caves	2521	3070	0
DungeonLocation	Skavid Caves	2540	3054	0
DungeonLocation	Skavid Caves	2552	3054	0
DungeonLocation	Skavid Caves	2551	3035	0
DungeonLocation	Skavid Caves (island)	2574	3028	0
DungeonLocation	Skavid Caves (island)	2500	2991	0
DungeonLocation	Skavid Caves	2528	3014	0
DungeonLocation	Skavid Caves	2561	3025	0
DungeonLocation	Scorpia cave	3243	3949	0
DungeonLocation	Scorpia cave	3230	3952	0
DungeonLocation	Scorpia cave	3231	3936	0
DungeonLocation	Scrubfoot's Cave	2946	3507	0
DungeonLocation	Shade Catacombs	3484	3321	0
DungeonLocation	Shayzien Crypts	1482	3549	0
DungeonLocation	Shayzien Prison	1464	3569	0
DungeonLocation	Shellbane Gryphon Cave	3175	2478	0
DungeonLocation	Shilo Village mine	2823	3001	0
DungeonLocation	Silk Chasm	3320	3798	0
DungeonLocation	Sisterhood Sanctuary	3727	3300	0
DungeonLocation	Sisterhood Sanctuary	3724	3356	0
DungeonLocation	Skeletal Tomb	3179	3684	0
DungeonLocation	Slayer Tower basement	3416	3535	0
DungeonLocation	Slepe basement	3718	3307	0
DungeonLocation	Smoke Devil Dungeon	2411	3061	0
DungeonLocation	Thermonuclear Smoke Devil (boss)	2377	9452	0
DungeonLocation	Smoke Dungeon	3309	2962	0
DungeonLocation	Sophanem Dungeon	3314	2797	0
DungeonLocation	Sourhog Cave	3149	3347	0
DungeonLocation	Stalker Den	1296	3374	0
DungeonLocation	Stalker Den	1324	3364	0
DungeonLocation	Stronghold of Security	3080	3420	0
DungeonLocation	Stronghold Slayer Dungeon	2427	3424	0
DungeonLocation	Taverley Dungeon	2883	3397	0
DungeonLocation	Taverley Dungeon	2841	3424	0
DungeonLocation	Temple - Desert Treasure 2	1174	3429	0
DungeonLocation	Temple of Ikov	2676	3404	0
DungeonLocation	Theatre of Blood	3676	3219	0
DungeonLocation	Dragon Nest	1289	3134	0
DungeonLocation	Passage to Gemstone Crab	1278	3168	0
DungeonLocation	Passage to Gemstone Crab	1351	3124	0
DungeonLocation	Passage to Gemstone Crab	1246	3036	0
DungeonLocation	Tonali Cavern	1309	3104	0
DungeonLocation	Tonali Cavern	1305	3035	0
DungeonLocation	Tolna's rift	3308	3450	0
DungeonLocation	Tombs of Amascut	3357	2711	0
DungeonLocation	Tombs of Amascut	3358	9240	0
DungeonLocation	Tower of Life dungeon	2649	3213	0
DungeonLocation	Trahaearn Mine	3270	6049	0
DungeonLocation	Tree Gnome Village Dungeon	2532	3155	0
DungeonLocation	Troll Stronghold	2838	3690	0
DungeonLocation	Troll Stronghold	2830	3677	0
DungeonLocation	Troll Stronghold	2826	3647	0
DungeonLocation	Tutorial Island mine	3110	3126	0
DungeonLocation	Tutorial Island mine	3087	3119	0
DungeonLocation	Ruins of Tapoyauik	1693	3231	0
DungeonLocation	Ruins of Tapoyauik	1640	3221	0
DungeonLocation	TzHaar City (Mor Ul Rek)	2862	9572	0
DungeonLocation	Underground Pass	2312	3215	0
DungeonLocation	Underground Pass	2433	3315	0
DungeonLocation	Underground Pass	3336	5967	0
DungeonLocation	Underwater	3760	3899	0
DungeonLocation	Ruins of Uzer basement	3492	3090	0
DungeonLocation	Wolf Den	1496	3132	0
DungeonLocation	Varrock Sewers	3236	3458	0
DungeonLocation	Varrock Sewers	3229	3504	0
DungeonLocation	Vet'ion's Rest	3221	3788	0
DungeonLocation	Volcanic Mine	3815	3808	0
DungeonLocation	VTAM Corporation	3243	3383	0
DungeonLocation	The Warrens	1812	3745	0
DungeonLocation	Warriors' Guild basement	2832	3542	0
DungeonLocation	Waterbirth Dungeon	2520	3740	0
DungeonLocation	Waterbirth Dungeon	2542	3741	0
DungeonLocation	Waterbirth Dungeon (sub-levels)	2545	10143	0
DungeonLocation	Web Chasm	3184	3745	0
DungeonLocation	Hole (shortcut to boat)	2853	3944	0
DungeonLocation	Werewolf Agility Course	3542	3461	0
DungeonLocation	White Knights' Castle Crypt	2964	3331	0
DungeonLocation	White Wolf Tunnel	2876	3480	0
DungeonLocation	White Wolf Tunnel	2819	3484	0
DungeonLocation	Wilderness Agility Course Dungeon	3004	3963	0
DungeonLocation	Wilderness God Wars Dungeon	3016	3739	0
DungeonLocation	Wilderness Slayer Cave	3292	3746	0
DungeonLocation	Wilderness Slayer Cave	3259	3666	0
DungeonLocation	Witchaven Dungeon	2695	3283	0
DungeonLocation	Wizards' Guild basement	2593	3085	0
DungeonLocation	Wizards' Tower basement	3103	3162	0
DungeonLocation	Woodcutting Guild dungeon	1603	3508	0
DungeonLocation	Wyrmscraig Cavern	2562	2203	0
DungeonLocation	Wyrmscraig Cavern	2540	2213	0
DungeonLocation	Wyrmscraig Cavern	2529	2206	0
DungeonLocation	Wyvern Cave	3745	3779	0
DungeonLocation	Wyvern Cave (task only)	3677	3854	0
DungeonLocation	Xeric's Lookout basement	1589	3526	0
DungeonLocation	Yanille Agility Dungeon	2568	3122	0
DungeonLocation	Yanille Agility Dungeon	2603	3078	0
DungeonLocation	Zalcano's Prison	3280	6059	0
DungeonLocation	Zogre cave	2484	3043	0
MinigameLocation	Animation Room	2853	3537	0
MinigameLocation	Barbarian Assault	2531	3569	0
MinigameLocation	Brimhaven Agility Arena	2809	3191	0
MinigameLocation	Burgh de Rott Ramble	3434	3487	0
MinigameLocation	Burthorpe Games Room	2900	3565	0
MinigameLocation	Castle Wars	2439	3092	0
MinigameLocation	Castle Wars Portal	3140	3626	0
MinigameLocation	Catapult Room	2842	3545	0
MinigameLocation	Clan Wars	3133	3621	0
MinigameLocation	Dummy Room	2857	3551	0
MinigameLocation	Emir's Arena	3313	3238	0
MinigameLocation	Fishing Trawler	2667	3163	0
MinigameLocation	Fortis Colosseum	1807	9507	0
MinigameLocation	Fortis Colosseum	1798	3107	0
MinigameLocation	Games Zone	3142	3473	0
MinigameLocation	Gnome Ball	2381	3488	0
MinigameLocation	Gnome Restaurant	2436	3502	0
MinigameLocation	Hallowed Sepulchre	3653	3386	1
MinigameLocation	Impetuous Impulses	2425	4445	0
MinigameLocation	Inferno	2495	5118	0
MinigameLocation	Last Man Standing	3138	3635	0
MinigameLocation	Mage Arena	3095	3957	0
MinigameLocation	Mage Training Arena	3362	3318	0
MinigameLocation	Mahogany Homes	2634	3295	0
MinigameLocation	Mahogany Homes	2989	3363	0
MinigameLocation	Mahogany Homes	1780	3623	0
MinigameLocation	Mahogany Homes	3240	3471	0
MinigameLocation	Mastering Mixology	1393	9326	0
MinigameLocation	Mastering Mixology	1388	2920	0
MinigameLocation	Nightmare Zone	2606	3115	0
MinigameLocation	Pest Control Intermediate	2638	2641	0
MinigameLocation	Pest Control Novice	2660	2637	0
MinigameLocation	Pest Control Veteran	2632	2648	0
MinigameLocation	Pyramid Plunder	3288	2787	0
MinigameLocation	Ranging Guild	2671	3419	0
MinigameLocation	Rat Pits	2561	3318	0
MinigameLocation	Rat Pits	2913	10188	0
MinigameLocation	Rat Pits	3015	3232	0
MinigameLocation	Rat Pits	3266	3400	0
MinigameLocation	Rogues' Den	2905	3537	0
MinigameLocation	Shades of Mort'ton	3505	3315	0
MinigameLocation	Shot Put Room	2863	3550	0
MinigameLocation	Sorceress's Garden	3285	3180	0
MinigameLocation	Soul Wars	2209	2855	0
MinigameLocation	Soul Wars	3082	3474	0
MinigameLocation	Tackle Organized Crime	1503	3635	0
MinigameLocation	Tai Bwo Wannai Cleanup	2795	3066	0
MinigameLocation	Tears of Guthix	3257	9517	0
MinigameLocation	Temple Trekking	3479	3240	0
MinigameLocation	The Gauntlet	3223	12505	1
MinigameLocation	The Mess	1640	3626	0
MinigameLocation	Tithe Farm	1796	3501	0
MinigameLocation	Totem Fletching	1366	3368	0
MinigameLocation	Trouble Brewing	3811	3021	0
MinigameLocation	TzHaar Fight Cave	2437	5168	0
MinigameLocation	TzHaar Fight Pit	2398	5177	0
MinigameLocation	TzHaar-Ket-Rak's Challenges	2544	5111	0
MinigameLocation	Volcanic Mine	3812	3810	0
FairyRingLocation	Fairy Ring - AIQ	2995	3112	0
FairyRingLocation	Fairy Ring - AIR	2699	3249	0
FairyRingLocation	Fairy Ring - AIS	1430	3323	0
FairyRingLocation	Fairy Ring - AJP	1648	3011	0
FairyRingLocation	Fairy Ring - AJR	2779	3615	0
FairyRingLocation	Fairy Ring - AJS	2499	3898	0
FairyRingLocation	Fairy Ring - AKP	3283	2704	0
FairyRingLocation	Fairy Ring - AKQ	2318	3617	0
FairyRingLocation	Fairy Ring - AKR	1823	3539	0
FairyRingLocation	Fairy Ring - AKS	2570	2958	0
FairyRingLocation	Fairy Ring - ALP	2502	3638	0
FairyRingLocation	Fairy Ring - ALQ	3598	3496	0
FairyRingLocation	Fairy Ring - ALR	3059	4877	0
FairyRingLocation	Fairy Ring - ALS	2643	3497	0
FairyRingLocation	Fairy Ring - BIP	3409	3326	0
FairyRingLocation	Fairy Ring - BIQ	3248	3095	0
FairyRingLocation	Fairy Ring - BIS	2635	3268	0
FairyRingLocation	Fairy Ring - BJP	2264	2976	0
FairyRingLocation	Fairy Ring - BJS	2147	3069	0
FairyRingLocation	Fairy Ring - BKP	2384	3037	0
FairyRingLocation	Fairy Ring - BKR	3468	3433	0
FairyRingLocation	Fairy Ring - BKS	2411	4436	0
FairyRingLocation	Fairy Ring - BLP	2432	5127	0
FairyRingLocation	Fairy Ring - BLR	2739	3353	0
FairyRingLocation	Fairy Ring - BLS	1293	3495	0
FairyRingLocation	Fairy Ring - CIP	2512	3886	0
FairyRingLocation	Fairy Ring - CIQ	2527	3129	0
FairyRingLocation	Fairy Ring - CIR	1303	3762	0
FairyRingLocation	Fairy Ring - CIS	1636	3869	0
FairyRingLocation	Fairy Ring - CJQ	3178	2445	0
FairyRingLocation	Fairy Ring - CJR	2704	3578	0
FairyRingLocation	Fairy Ring - CKQ	1358	2943	0
FairyRingLocation	Fairy Ring - CKR	2800	3005	0
FairyRingLocation	Fairy Ring - CKS	3446	3472	0
FairyRingLocation	Fairy Ring - CLP	3081	3208	0
FairyRingLocation	Fairy Ring - CLR	2737	2739	0
FairyRingLocation	Fairy Ring - CLS	2681	3083	0
FairyRingLocation	Fairy Ring - DIP	3036	4761	0
FairyRingLocation	Fairy Ring - DIS	3109	3149	0
FairyRingLocation	Fairy Ring - DJP	2657	3232	0
FairyRingLocation	Fairy Ring - DJR	1452	3659	0
FairyRingLocation	Fairy Ring - DKP	2899	3113	0
FairyRingLocation	Fairy Ring - DKR	3126	3496	0
FairyRingLocation	Fairy Ring - DKS	2743	3721	0
FairyRingLocation	Fairy Ring - DLP	2923	10455	0
FairyRingLocation	Fairy Ring - DLQ	3422	3018	0
FairyRingLocation	Fairy Ring - DLR	2212	3101	0
FarmingPatchLocation	Farming patch - Allotment	3793	2836	0
FarmingPatchLocation	Farming patch - Allotment	1269	3730	0
FarmingPatchLocation	Farming patch - Allotment/Flower	3289	6100	0
FarmingPatchLocation	Farming patch - Allotment/Herb/Flower	1729	3558	0
FarmingPatchLocation	Farming patch - Allotment/Herb/Flower	3598	3524	0
FarmingPatchLocation	Farming patch - Allotment/Herb/Flower	3052	3309	0
FarmingPatchLocation	Farming patch - Allotment/Herb/Flower	2810	3462	0
FarmingPatchLocation	Farming patch - Allotment/Herb/Flower	2663	3375	0
FarmingPatchLocation	Farming patch - Allotment/Herb/Flower	1587	3101	0
FarmingPatchLocation	Farming patch - Anima/Herb	1235	3724	0
FarmingPatchLocation	Farming patch - Belladonna	3084	3356	0
FarmingPatchLocation	Farming patch - Belladonna	1449	3354	0
FarmingPatchLocation	Farming patch - Bush	2938	3223	0
FarmingPatchLocation	Farming patch - Bush	2589	3862	0
FarmingPatchLocation	Farming patch - Bush	3182	3356	0
FarmingPatchLocation	Farming patch - Bush	2615	3224	0
FarmingPatchLocation	Farming patch - Bush/Flower	1259	3729	0
FarmingPatchLocation	Farming patch - Cactus	3313	3201	0
FarmingPatchLocation	Farming patch - Cactus	1264	3745	0
FarmingPatchLocation	Farming patch - Calquat	2793	3099	0
FarmingPatchLocation	Farming patch - Calquat	1365	3035	0
FarmingPatchLocation	Farming patch - Calquat	3125	2403	0
FarmingPatchLocation	Farming patch - Celastrus/Fruit Tree	1242	3755	0
FarmingPatchLocation	Farming patch - Coral	3296	8861	0
FarmingPatchLocation	Farming patch - Crystal Tree	3292	6120	0
FarmingPatchLocation	Farming patch - Flower	1352	3025	0
FarmingPatchLocation	Farming patch - Fruit Tree	2487	3181	0
FarmingPatchLocation	Farming patch - Fruit Tree	2343	3160	0
FarmingPatchLocation	Farming patch - Fruit Tree	2472	3445	0
FarmingPatchLocation	Farming patch - Fruit Tree	2858	3432	0
FarmingPatchLocation	Farming patch - Fruit Tree	2765	3211	0
FarmingPatchLocation	Farming patch - Fruit Tree	1347	3058	0
FarmingPatchLocation	Farming patch - Grapes	1807	3555	0
FarmingPatchLocation	Farming patch - Hardwood	3707	3838	0
FarmingPatchLocation	Farming patch - Hardwood	1683	2971	0
FarmingPatchLocation	Farming patch - Hardwood	2472	2705	0
FarmingPatchLocation	Farming patch - Herb	3789	2840	0
FarmingPatchLocation	Farming patch - Herb	2847	3933	0
FarmingPatchLocation	Farming patch - Herb	2828	3696	0
FarmingPatchLocation	Farming patch - Hespori	1182	10068	0
FarmingPatchLocation	Farming patch - Hops	2572	3102	0
FarmingPatchLocation	Farming patch - Hops	2661	3523	0
FarmingPatchLocation	Farming patch - Hops	3224	3313	0
FarmingPatchLocation	Farming patch - Hops	2812	3334	0
FarmingPatchLocation	Farming patch - Hops	1367	2938	0
FarmingPatchLocation	Farming patch - Mushroom	3449	3471	0
FarmingPatchLocation	Farming patch - Redwood	1233	3754	0
FarmingPatchLocation	Farming patch - Seaweed	3730	10271	0
FarmingPatchLocation	Farming patch - Spirit Tree	3056	3259	0
FarmingPatchLocation	Farming patch - Spirit Tree	1690	3540	0
FarmingPatchLocation	Farming patch - Spirit Tree	3614	3856	0
FarmingPatchLocation	Farming patch - Spirit Tree	2799	3205	0
FarmingPatchLocation	Farming patch - Spirit Tree	1254	3753	0
FarmingPatchLocation	Farming patch - Tree	3226	3457	0
FarmingPatchLocation	Farming patch - Tree	2933	3436	0
FarmingPatchLocation	Farming patch - Tree	3189	3233	0
FarmingPatchLocation	Farming patch - Tree	2434	3418	0
FarmingPatchLocation	Farming patch - Tree	3005	3375	0
FarmingPatchLocation	Farming patch - Tree	1234	3736	0
FarmingPatchLocation	Farming patch - Tree	1366	3318	0
MooringLocation	Port Sarim - Level 1	3050	3192	0
MooringLocation	The Pandemonium - Level 1	3069	2986	0
MooringLocation	Land's End - Level 5	1506	3402	0
MooringLocation	Hosidius - Level 5	1726	3452	0
MooringLocation	Musa Point - Level 10	2960	3147	0
MooringLocation	Port Piscarillius - Level 15	1845	3687	0
MooringLocation	Rimmington - Level 18	2905	3226	0
MooringLocation	Catherby - Level 20	2796	3412	0
MooringLocation	Brimhaven - Level 25	2757	3229	0
MooringLocation	Ardougne - Level 28	2671	3265	0
MooringLocation	Port Khazard - Level 30	2685	3161	0
MooringLocation	Witchaven - Level 34	2746	3304	0
MooringLocation	Entrana - Level 36	2878	3335	0
MooringLocation	Civitas illa Fortis - Level 38	1774	3141	0
MooringLocation	Corsair Cove - Level 40	2579	2843	0
MooringLocation	Dognose Island - Level 40	3061	2639	0
MooringLocation	Cairn Isle - Level 42	2749	2951	0
MooringLocation	Chinchompa Island - Level 42	1892	3429	0
MooringLocation	Sunset Coast - Level 44	1511	2975	0
MooringLocation	Remote Island - Level 45	2971	2603	0
MooringLocation	The Summer Shore - Level 45	3174	2367	0
MooringLocation	The Little Pearl - Level 45	3354	2216	0
MooringLocation	Aldarin - Level 46	1452	2970	0
MooringLocation	Vatrachos Island - Level 46	1872	2985	0
MooringLocation	The Onyx Crest - Level 47	2997	2288	0
MooringLocation	Ruins of Unkah - Level 48	3143	2824	0
MooringLocation	Shimmering Atoll - Level 49	1557	2771	0
MooringLocation	Void Knights' Outpost - Level 50	2651	2678	0
MooringLocation	Port Roberts - Level 50	1860	3306	0
MooringLocation	Anglers' Retreat - Level 51	2467	2721	0
MooringLocation	Last Light - Level 52	2848	2327	0
MooringLocation	Red Rock - Level 52	2808	2510	0
MooringLocation	Minotaurs' Rest - Level 54	1958	3117	0
MooringLocation	Isle of Souls - Level 55	2282	2823	0
MooringLocation	Isle of Bones - Level 56	2532	2531	0
MooringLocation	Laguna Aurorae - Level 58	1202	2733	0
MooringLocation	Charred Island - Level 60	2660	2395	0
MooringLocation	Tear of the Soul - Level 61	2318	2774	0
MooringLocation	Rellekka - Level 62	2630	3705	0
MooringLocation	Wyrmscraig - Level 62	2567	2297	0
MooringLocation	Wyrmscraig Cavern - Level 62	2773	8607	0
MooringLocation	Wintumber Island - Level 63	2058	2606	0
MooringLocation	The Crown Jewel - Level 64	1765	2659	0
MooringLocation	Etceteria - Level 65	2611	3840	0
MooringLocation	Port Tyras - Level 66	2144	3120	0
MooringLocation	Lledrith Island - Level 66	2097	3188	0
MooringLocation	Deepfin Point - Level 67	1923	2758	0
MooringLocation	Jatizso - Level 68	2412	3780	0
MooringLocation	Neitiznot - Level 68	2308	3783	0
MooringLocation	Rainbow's End - Level 69	2344	2270	0
MooringLocation	Prifddinas - Level 70	2158	3324	0
MooringLocation	Sunbleak Island - Level 72	2189	2327	0
MooringLocation	Ynysdail - Level 73	2222	3466	0
MooringLocation	Waterbirth Island - Level 74	2543	3765	0
MooringLocation	Piscatoris - Level 75	2303	3690	0
MooringLocation	Lunar Isle - Level 76	2151	3880	0
MooringLocation	Buccaneers' Haven - Level 76	2080	3690	0
MooringLocation	Drumstick Isle - Level 79	2150	3530	0
MooringLocation	Weiss - Level 80	2860	3972	0
MooringLocation	Brittle Isle - Level 81	1954	4056	0
MooringLocation	Grimstone - Level 87	2927	4056	0
RareTreeLocation	Willow tree - Level 30	2710	3510	0
RareTreeLocation	Teak tree - Level 35	2774	2697	0
RareTreeLocation	Teak tree - Level 35	3510	3073	0
RareTreeLocation	Teak tree - Level 35	3440	2789	0
RareTreeLocation	Teak tree - Level 35	3129	2446	0
RareTreeLocation	Teak tree - Level 35	3832	3067	0
RareTreeLocation	Teak tree - Level 35	2837	2907	0
RareTreeLocation	Teak tree - Level 35	2899	2897	0
RareTreeLocation	Teak tree - Level 35	2333	3049	0
RareTreeLocation	Teak tree - Level 35	3309	6123	0
RareTreeLocation	Teak tree - Level 35	1540	2802	0
